pos,variable,label,col_type,missing,levels,value_labels
1,record_id,Unique participant ID,dbl,0,,
2,redcap_event_name,NA,chr,0,,
3,date_cds,NA,date,0,,
4,cds_eat_and_drink,NA,dbl,0,,
5,cds_continence,NA,dbl,0,,
6,cds_body_posture,NA,dbl,0,,
7,cds_mobility,NA,dbl,0,,
8,cds_day_night_pattern,NA,dbl,0,,
9,cds_dressing,NA,dbl,0,,
10,cds_temperature,NA,dbl,0,,
11,cds_hygiene,NA,dbl,1,,
12,cds_danger,NA,dbl,0,,
13,cds_communication,NA,dbl,0,,
14,cds_social_contact,NA,dbl,1,,
15,cds_rules_and_values,NA,dbl,0,,
16,cds_daily_activities,NA,dbl,0,,
17,cds_recreational_activity,NA,dbl,0,,
18,cds_learning_ability,NA,dbl,0,,
19,research_staff,NA,chr,0,,
20,care_dependency_score_complete,NA,dbl,0,,
