pos,variable,label,col_type,missing,levels,value_labels
1,record_id,Unique participant ID,dbl,0,,
2,redcap_event_name,NA,chr,0,,
3,date,NA,date,0,,
4,ppi,NA,chr,1,,
5,ppi_name,NA,chr,129,,
6,ppi_other,NA,chr,248,,
7,hospital_admissions,NA,chr,0,,
8,hospital_adm_v1,NA,chr,185,,
9,urinary_catheter,NA,chr,0,,
10,nasogastric_feeding_tube,NA,chr,0,,
11,percutaneous_feeding_tube,NA,chr,0,,
12,longterm_vascular_devide,NA,chr,0,,
13,shortterm_vascular_device,NA,chr,0,,
14,other_medical_device,NA,chr,0,,
15,no_vascular_device,NA,chr,0,,
16,devices_other,NA,chr,250,,
17,animal_exp,NA,chr,1,,
18,animal_detail,NA,chr,220,,
19,overseas_travel,NA,chr,0,,
20,overseas_detail,NA,chr,251,,
