sample,Escherichia,Klebsiella,Shigella,kraken_assignment,reads_after_filter,completeness,contamination,low_reads,contaminated,incomplete,n50,total_length,low_n50,wrong_length
49937_1#1,0.00611,0.9916200000000001,9e-5,Klebsiella,3666770,100,0.17,FALSE,FALSE,FALSE,119999,5353503,FALSE,FALSE
49937_1#10,6.9e-4,0.9969899999999998,NA,Klebsiella,3656058,100,0.23,FALSE,FALSE,FALSE,742524,5428585,FALSE,FALSE
49937_1#100,0.9802899999999999,8.300000000000001e-4,0.016569999999999998,Escherichia,2270280,100,1.12,FALSE,FALSE,FALSE,315267,5149591,FALSE,FALSE
49937_1#101,0.00609,0.9907599999999998,NA,Klebsiella,2131688,100,0.28,FALSE,FALSE,FALSE,88026,5091723,FALSE,FALSE
49937_1#102,0.9769800000000001,8.500000000000001e-4,0.01774,Escherichia,2649464,100,0.86,FALSE,FALSE,FALSE,281993,5156677,FALSE,FALSE
49937_1#103,0.00269,0.9961099999999999,NA,Klebsiella,1990806,100,0.15,FALSE,FALSE,FALSE,316897,5528372,FALSE,FALSE
49937_1#104,7.4e-4,0.9971899999999999,NA,Klebsiella,2649470,100,0.28,FALSE,FALSE,FALSE,203333,5657242,FALSE,FALSE
49937_1#105,0.00224,0.9966700000000001,NA,Klebsiella,1442500,100,0.09,FALSE,FALSE,FALSE,348839,5265694,FALSE,FALSE
49937_1#106,0.00227,0.9964399999999999,NA,Klebsiella,3875178,100,0.08,FALSE,FALSE,FALSE,367376,5369568,FALSE,FALSE
49937_1#107,0.98725,4.6000000000000007e-4,0.009739999999999999,Escherichia,2843458,100,2.13,FALSE,FALSE,FALSE,209197,5339340,FALSE,FALSE
49937_1#108,0.97334,4.3000000000000004e-4,0.02116,Escherichia,1462138,100,0.56,FALSE,FALSE,FALSE,188263,4944599,FALSE,FALSE
49937_1#109,0.92407,6.8e-4,0.017910000000000002,Escherichia,2921478,100,0.53,FALSE,FALSE,FALSE,331774,5031425,FALSE,FALSE
49937_1#11,0.9448300000000001,0.004219999999999999,0.042100000000000005,Escherichia,3022744,100,0.15,FALSE,FALSE,FALSE,178360,5045527,FALSE,FALSE
49937_1#111,8.1e-4,0.9970299999999999,NA,Klebsiella,1815794,100,0.09,FALSE,FALSE,FALSE,348839,5266731,FALSE,FALSE
49937_1#112,0.9776099999999999,3.6e-4,0.01279,Escherichia,1678508,100,0.4,FALSE,FALSE,FALSE,107661,5113672,FALSE,FALSE
49937_1#113,0.00278,0.9953299999999999,NA,Klebsiella,1601524,100,0.61,FALSE,FALSE,FALSE,224207,5675659,FALSE,FALSE
49937_1#114,0.00119,0.9972000000000001,NA,Klebsiella,2183332,100,0.47,FALSE,FALSE,FALSE,255785,5512754,FALSE,FALSE
49937_1#115,0.04122,0.9573799999999998,2.1e-4,Klebsiella,2484228,100,0.17,FALSE,FALSE,FALSE,242508,5501871,FALSE,FALSE
49937_1#116,8.9e-4,0.9978799999999999,NA,Klebsiella,2528686,100,0.5,FALSE,FALSE,FALSE,293138,5571670,FALSE,FALSE
49937_1#117,8.4e-4,0.9927100000000001,2e-4,Klebsiella,1518696,100,0.2,FALSE,FALSE,FALSE,302308,5495365,FALSE,FALSE
49937_1#118,0.00229,0.9961399999999998,NA,Klebsiella,2558720,100,0.04,FALSE,FALSE,FALSE,259732,5349069,FALSE,FALSE
49937_1#119,8.2e-4,0.9976700000000002,3.6e-4,Klebsiella,1694718,100,0.2,FALSE,FALSE,FALSE,240515,5477290,FALSE,FALSE
49937_1#12,0.9854200000000001,3.6e-4,0.01149,Escherichia,3337002,100,1.05,FALSE,FALSE,FALSE,190808,5086186,FALSE,FALSE
49937_1#120,0.0065,0.9839099999999998,NA,Klebsiella,2748442,100,0.15,FALSE,FALSE,FALSE,295854,5539235,FALSE,FALSE
49937_1#121,0.00302,0.9945100000000001,NA,Klebsiella,2706276,100,0.05,FALSE,FALSE,FALSE,372145,5532169,FALSE,FALSE
49937_1#122,0.98563,4.300000000000001e-4,0.010730000000000002,Escherichia,2515132,100,0.51,FALSE,FALSE,FALSE,239677,4970520,FALSE,FALSE
49937_1#123,0.00188,0.99645,NA,Klebsiella,1688534,100,0.04,FALSE,FALSE,FALSE,259732,5348994,FALSE,FALSE
49937_1#124,0.9865700000000001,3.6e-4,0.011330000000000002,Escherichia,1835024,100,1.12,FALSE,FALSE,FALSE,190808,5013294,FALSE,FALSE
49937_1#125,0.00267,0.9945099999999999,NA,Klebsiella,1836880,100,0.21,FALSE,FALSE,FALSE,414584,5409515,FALSE,FALSE
49937_1#126,0.98668,6.600000000000001e-4,0.009899999999999999,Escherichia,1631278,100,0.82,FALSE,FALSE,FALSE,191132,5086577,FALSE,FALSE
49937_1#127,0.00231,0.9942799999999998,NA,Klebsiella,1809812,100,0.53,FALSE,FALSE,FALSE,225768,5531407,FALSE,FALSE
49937_1#128,0.92783,7.500000000000001e-4,0.022869999999999998,Escherichia,2346144,100,1.24,FALSE,FALSE,FALSE,161515,4981681,FALSE,FALSE
49937_1#129,0.9798300000000001,0.00202,0.01406,Escherichia,2194256,100,0.13,FALSE,FALSE,FALSE,168022,5376272,FALSE,FALSE
49937_1#13,0.00932,0.98929,NA,Klebsiella,2199470,100,0.47,FALSE,FALSE,FALSE,460854,5511508,FALSE,FALSE
49937_1#130,0.011989999999999999,0.9862200000000001,NA,Klebsiella,2721004,100,1.03,FALSE,FALSE,FALSE,210931,5521412,FALSE,FALSE
49937_1#131,0.98677,3.6e-4,0.01081,Escherichia,2871626,100,0.61,FALSE,FALSE,FALSE,231346,5070672,FALSE,FALSE
49937_1#132,0.97677,8e-4,0.01817,Escherichia,1419048,100,0.48,FALSE,FALSE,FALSE,268422,5063246,FALSE,FALSE
49937_1#133,0.98782,3.1e-4,0.010309999999999998,Escherichia,1086930,100,0.96,FALSE,FALSE,FALSE,158935,5103040,FALSE,FALSE
