ID,irods_path,alignment,component,composition,dcterms:created,dcterms:creator,dcterms:publisher,id_product,id_run,irods::access_time,is_paired_read,lane,library_id,library_type,manual_qc,md5,reference,sample,sample_accession_number,sample_common_name,sample_donor_id,sample_id,sample_lims,sample_supplier_name,sample_uuid,seqchksum,study,study_accession_number,study_id,study_title,tag_index,target,total_reads,type,subset,sweep_or_wgs,sample_source,linking_id
49937_1#137,/seq/illumina/runs/49/49937/lane1/plex137/49937_1#137.cram,1,"{""id_run"":49937,""position"":1,""tag_index"":137}","{""components"":[{""id_run"":49937,""position"":1,""tag_index"":137}]}",2024-12-18T06:22:45Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",b198ad3efe187000323253329caff5ffa59068b4f12aeecaaae76f93f13255b5,49937,1734620786,1,1,73718032,pWGS-384,1,3e8efdeebe0d7489b6cfc512e6a7a5e5,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051131,ERS21365509,Escherichia coli,TRACS15051131,9920077,SQSCP,TRACS_LCL_703_228367,6fa8f048-92ad-11ef-b117-0242391542d4,25b5f46c36f25fda26802eb03125378c25b5f46c36f25fda26802eb03125378c,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,137,1,2159268,cram,target,wgs,blood,228367
49989_1#210,/seq/illumina/runs/49/49989/lane1/plex210/49989_1#210.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":210}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":210}]}",2025-01-09T17:36:57Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",ebe2e5a69812d0df494fc5b7f7a4f262629dd230cfbb2a436a2143b504e73b17,49989,1736531235,1,1,73716333,pWGS-384,1,e8d6298217f7b3234e7e1c35c270ba2e,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051549,ERS21365927,Escherichia coli,TRACS15051549,9920495,SQSCP,"TRACS_WH_187_M,23.1325872.YA",775aa0de-92ad-11ef-b117-0242391542d4,566eaef656ffdea0042eca5e49c11ca6566eaef656ffdea0042eca5e49c11ca6,Whiston,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,210,1,2117774,cram,target,wgs,blood,"M,23.1325872.YA"
49989_2#111,/seq/illumina/runs/49/49989/lane2/plex111/49989_2#111.cram,1,"{""id_run"":49989,""position"":2,""tag_index"":111}","{""components"":[{""id_run"":49989,""position"":2,""tag_index"":111}]}",2025-01-09T18:33:13Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",38e6cf3dd54f817a18199dc16382ac9ad9a1c1a96c7ed561f9ff082ae3a9fc6a,49989,1736531806,1,2,73716254,pWGS-384,1,a2dad7d6130763444c294cc6cfaf96bb,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15050685,ERS21365063,Escherichia coli,TRACS15050685,9919631,SQSCP,TRACS_2_PS_535,6705dcb2-92ad-11ef-b117-0242391542d4,1ad286995cae9cf5614fd5091dcda4601ad286995cae9cf5614fd5091dcda460,TRACS,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,111,1,2510666,cram,target,wgs,stool,TRACS_2_PS_535
49873_3#70,/seq/illumina/runs/49/49873/lane3/plex70/49873_3#70.cram,0,"{""id_run"":49873,""position"":3,""tag_index"":70}","{""components"":[{""id_run"":49873,""position"":3,""tag_index"":70}]}",2024-11-30T16:51:39Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",b4a1e4b5f437b5e27c3eed453a8c9f7e29e29ee2c4e89332704aca14419c0147,49873,1733223813,1,3,73056524,Standard,1,3b47627f95b6a5d98275920ec4dcc3d8,NA,TRACS15052211,ERS21364334,metagenome,TRACS15052211,9919051,SQSCP,TRACS_Sweep_2_PS_455,f583420c-92aa-11ef-b505-02423c45b5b8,4c624d3b0dc181753be5d14a6008f9334c624d3b0dc181753be5d14a6008f933,TRACS,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,70,1,21582676,cram,target,sweep,stool,TRACS_2_PS_455
49915_3#123,/seq/illumina/runs/49/49915/lane3/plex123/49915_3#123.cram,0,"{""id_run"":49915,""position"":3,""tag_index"":123}","{""components"":[{""id_run"":49915,""position"":3,""tag_index"":123}]}",2024-12-12T02:18:32Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",31193c49075b4b24077c6ba06aaf791cdf1202eb1fa3a991bdbc7e09395865c8,49915,1734006632,1,3,72243050,Standard,1,8e090d845edd11d38949834caddef76a,NA,TRACS15052320,ERS21364479,metagenome,TRACS15052320,9919160,SQSCP,TRACS_Sweep_2_ES_1625,f6bc102c-92aa-11ef-b505-02423c45b5b8,24e89c4916f4bc843d8c93b1157d312124e89c4916f4bc843d8c93b1157d3121,TRACS,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,123,1,25129174,cram,target,sweep,environmental,TRACS_2_ES_1625
49989_1#174,/seq/illumina/runs/49/49989/lane1/plex174/49989_1#174.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":174}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":174}]}",2025-01-09T17:30:19Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",b7ad22df5869c13e2213b91ea143705fb2350cb4c43f810901c1ed901dc3922d,49989,1736531162,1,1,73716618,pWGS-384,1,215ada138685aa583986a1ef674d6efe,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051330,ERS21365771,Escherichia coli,TRACS15051330,9920276,SQSCP,TRACS_LCL_644_227145,73758470-92ad-11ef-b117-0242391542d4,235ff12f6940f1f84941f8142fc76cd9235ff12f6940f1f84941f8142fc76cd9,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,174,1,2368974,cram,target,wgs,blood,227145
49990_2#240,/seq/illumina/runs/49/49990/lane2/plex240/49990_2#240.cram,1,"{""id_run"":49990,""position"":2,""tag_index"":240}","{""components"":[{""id_run"":49990,""position"":2,""tag_index"":240}]}",2025-01-09T16:39:43Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",c1532e0e94ba14086454ff93a4d62802ae13f9f50a3c55d22eeacc11c492d0b3,49990,1736856972,1,2,73716912,pWGS-384,1,5e4340b2b84cc1fc2c29574a085aaad2,/lustre/scratch120/npg_repository/references/Klebsiella_pneumoniae/NC_011283/all/bwa0_6/NC_011283.fasta,TRACS15051802,ERS21366196,Klebsiella pneumoniae,TRACS15051802,9920748,SQSCP,TRACS_CA_LIV86,7c029966-92ad-11ef-b117-0242391542d4,5c8ed62e2930b5ae28bdd69550ad6c775c8ed62e2930b5ae28bdd69550ad6c77,Companion animal,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,240,1,2090246,cram,target,wgs,NA,TRACS_CA_LIV86
49873_3#141,/seq/illumina/runs/49/49873/lane3/plex141/49873_3#141.cram,0,"{""id_run"":49873,""position"":3,""tag_index"":141}","{""components"":[{""id_run"":49873,""position"":3,""tag_index"":141}]}",2024-11-30T17:06:00Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",0515b30bfc0fdac7955bef3a407b0cc0702ade31955b225eb20d03700efbf358,49873,1733223948,1,3,73069632,Standard,1,3a31ae3b6fef625bdb6e88cf34e738b6,NA,TRACS15052200,ERS21364323,metagenome,TRACS15052200,9919040,SQSCP,TRACS_Sweep_2_PS_490,f55f744e-92aa-11ef-b505-02423c45b5b8,32cab4c71703beef61e029b429692b0932cab4c71703beef61e029b429692b09,TRACS,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,141,1,27459902,cram,target,sweep,stool,TRACS_2_PS_490
49989_1#159,/seq/illumina/runs/49/49989/lane1/plex159/49989_1#159.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":159}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":159}]}",2025-01-09T17:27:03Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",5a08adc9b58274fcecbd4ba5fc568f71b6db128838f5ea0a6e420b342ff7f617,49989,1736531134,1,1,73716641,pWGS-384,1,6c0104c3b255f6c14c00f82c293d45e9,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051439,ERS21365817,Escherichia coli,TRACS15051439,9920385,SQSCP,"TRACS_WH_53_M,23.1315232.MA",757cefec-92ad-11ef-b117-0242391542d4,34c58e6444771587663d5e425dabc15b34c58e6444771587663d5e425dabc15b,Whiston,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,159,1,1779092,cram,target,wgs,blood,"M,23.1315232.MA"
49989_2#283,/seq/illumina/runs/49/49989/lane2/plex283/49989_2#283.cram,1,"{""id_run"":49989,""position"":2,""tag_index"":283}","{""components"":[{""id_run"":49989,""position"":2,""tag_index"":283}]}",2025-01-09T19:05:02Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",04c29731b81ee92037a2e71f1819b640adf001c4f6a660b9a41157a994c9297d,49989,1736532145,1,2,73716169,pWGS-384,1,6f1b97544b82de9a1b466bb819007250,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15050964,ERS21365342,Escherichia coli,TRACS15050964,9919910,SQSCP,TRACS_LCL_260_221403,6c346168-92ad-11ef-b117-0242391542d4,2251ea21078eaefc527870905428aa782251ea21078eaefc527870905428aa78,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,283,1,2439776,cram,target,wgs,blood,221403
