studyid,runid,laneid,plexid
7835,49937,1,137
7835,49989,1,210
7835,49989,2,111
7835,49989,1,174
7835,49990,2,240
7835,49989,1,159
7835,49989,2,283
7835,49937,1,340
7835,49989,1,295
7835,49989,1,267
7835,49989,2,75
7835,49990,1,339
7835,49990,2,39
7835,49989,1,241
7835,49989,1,238
7835,49990,2,12
7835,49989,1,329
7835,49989,2,351
7835,49989,1,124
7835,49937,1,360
7835,49937,1,252
7835,49989,1,79
7835,49990,2,36
7835,49989,1,51
7835,49990,2,210
7835,49990,1,345
7835,49937,1,105
7835,49937,1,114
7835,49989,1,163
7835,49937,1,329
7835,49990,2,51
7835,49990,1,315
7835,49989,2,210
7835,49989,2,227
7835,49989,2,72
7835,49989,2,143
7835,49989,1,236
7835,49990,1,306
7835,49990,2,95
7835,49989,2,198
7835,49937,1,371
7835,49990,2,15
7835,49990,1,384
7835,49990,1,251
7835,49989,1,382
7835,49937,1,209
7835,49989,1,103
7835,49937,1,75
7835,49989,2,300
7835,49989,2,158
7835,49989,2,277
7835,49989,1,226
7835,49989,2,377
7835,49989,2,304
7835,49989,1,369
7835,49937,1,208
7835,49989,2,117
7835,49989,2,135
7835,49989,2,85
7835,49989,2,192
7835,49937,1,169
7835,49989,2,129
7835,49989,2,74
7835,49989,1,23
7835,49989,1,10
7835,49989,1,287
7835,49947,1,61
7835,49947,1,95
7835,49990,1,190
7835,49989,2,122
7835,49990,1,152
7835,49989,1,185
7835,49989,2,109
7835,49989,2,292
7835,49989,2,180
7835,49937,1,230
7835,49937,1,217
7835,49989,2,270
7835,49990,2,77
7835,49947,1,243
7835,49989,1,101
7835,49989,2,57
7835,49937,1,43
7835,49989,1,87
7835,49947,1,187
7835,49989,1,301
7835,49937,1,314
7835,49990,2,317
7835,49937,1,287
7835,49990,2,134
7835,49989,1,157
7835,49990,2,193
7835,49947,1,283
7835,49989,1,100
7835,49937,1,381
7835,49990,1,348
7835,49990,2,222
7835,49937,1,45
7835,49989,2,15
7835,49989,2,219
7835,49990,2,130
7835,49990,2,218
7835,49937,1,236
7835,49990,1,182
7835,49947,1,86
7835,49989,2,19
7835,49937,1,47
7835,49937,1,58
7835,49937,1,175
7835,49989,1,231
7835,49937,1,94
7835,49989,2,234
7835,49937,1,233
7835,49989,1,206
7835,49947,1,287
7835,49989,1,114
7835,49989,1,306
7835,49989,2,153
7835,49989,2,112
7835,49937,1,366
7835,49990,2,123
7835,49990,2,145
7835,49937,1,3
7835,49990,1,191
7835,49990,1,211
7835,49990,1,382
7835,49989,1,59
7835,49937,1,367
7835,49989,2,86
7835,49990,2,132
7835,49937,1,98
7835,49937,1,355
7835,49989,2,268
7835,49989,2,163
7835,49990,2,171
7835,49990,1,117
7835,49990,1,88
7835,49937,1,298
7835,49937,1,264
7835,49990,1,350
7835,49989,2,34
7835,49947,1,120
7835,49937,1,204
7835,49990,2,37
7835,49990,1,114
7835,49989,2,173
7835,49989,2,244
7835,49989,2,275
7835,49989,2,145
7835,49989,1,368
7835,49937,1,56
7835,49937,1,189
7835,49989,2,110
7835,49990,2,63
7835,49947,1,342
7835,49989,1,362
7835,49989,1,293
7835,49947,1,351
7835,49989,2,35
7835,49989,1,134
7835,49990,2,283
7835,49990,2,127
7835,49937,1,134
7835,49937,1,348
7835,49990,2,165
7835,49947,1,22
7835,49937,1,140
7835,49990,2,8
7835,49990,2,7
7835,49989,2,205
7835,49989,2,352
7835,49989,2,363
7835,49989,2,190
7835,49947,1,220
7835,49989,2,100
7835,49990,1,288
7835,49989,2,379
7835,49990,1,86
7835,49989,1,356
7835,49989,2,255
7835,49989,2,215
7835,49937,1,39
7835,49947,1,376
7835,49990,1,187
7835,49989,2,209
7835,49990,1,273
7835,49989,1,32
7835,49989,2,107
7835,49989,1,47
7835,49990,2,117
7835,49989,2,10
7835,49947,1,24
7835,49990,2,282
7835,49990,2,59
7835,49947,1,62
7835,49990,2,103
7835,49990,2,244
7835,49990,2,231
7835,49989,2,237
7835,49989,1,102
7835,49937,1,330
7835,49937,1,150
7835,49990,1,127
7835,49937,1,106
7835,49937,1,336
7835,49937,1,251
7835,49937,1,112
7835,49990,1,156
7835,49989,2,196
7835,49990,1,371
7835,49937,1,380
7835,49990,1,381
7835,49989,2,140
7835,49947,1,256
7835,49937,1,282
7835,49937,1,185
7835,49937,1,219
7835,49937,1,284
7835,49937,1,339
7835,49990,1,372
7835,49989,2,240
7835,49989,1,137
7835,49937,1,224
7835,49937,1,188
7835,49990,1,218
7835,49989,2,39
7835,49990,2,29
7835,49990,2,93
7835,49937,1,182
7835,49937,1,194
7835,49990,2,290
7835,49990,2,167
7835,49989,1,155
7835,49937,1,91
7835,49989,1,108
7835,49990,1,155
7835,49989,1,335
7835,49937,1,222
7835,49990,2,140
7835,49989,1,251
7835,49989,1,144
7835,49989,1,160
7835,49989,2,54
7835,49937,1,130
7835,49989,2,365
7835,49989,1,33
7835,49947,1,251
7835,49990,2,101
7835,49989,2,95
7835,49937,1,379
7835,49937,1,206
7835,49937,1,243
7835,49947,1,378
7835,49989,1,358
7835,49947,1,114
7835,49937,1,223
7835,49989,2,149
7835,49937,1,35
7835,49989,1,151
7835,49989,1,373
7835,49989,1,359
7835,49937,1,34
7835,49989,2,62
7835,49990,1,20
7835,49937,1,303
7835,49989,1,323
7835,49937,1,139
7835,49990,2,44
7835,49989,2,245
7835,49937,1,132
7835,49989,2,280
7835,49989,1,284
7835,49989,2,358
7835,49990,2,285
7835,49947,1,310
7835,49989,1,136
7835,49989,1,17
7835,49937,1,228
7835,49937,1,82
7835,49989,1,72
7835,49989,1,93
7835,49937,1,60
7835,49937,1,229
7835,49937,1,2
7835,49947,1,223
7835,49990,1,89
7835,49947,1,218
7835,49989,2,164
7835,49990,1,286
7835,49947,1,250
7835,49989,2,208
7835,49989,1,332
7835,49990,1,280
7835,49989,1,109
7835,49937,1,335
7835,49989,1,25
7835,49989,2,243
7835,49947,1,375
7835,49947,1,151
7835,49989,1,233
7835,49989,1,129
7835,49990,1,312
7835,49989,2,23
7835,49990,1,185
7835,49990,1,32
7835,49937,1,177
7835,49937,1,192
7835,49990,2,211
7835,49947,1,315
7835,49989,2,29
7835,49990,1,246
7835,49989,1,280
7835,49990,1,154
7835,49989,1,55
7835,49990,2,197
7835,49989,1,16
7835,49989,2,1
7835,49990,2,106
7835,49989,2,88
7835,49937,1,33
7835,49989,2,235
7835,49947,1,84
7835,49990,2,233
7835,49937,1,122
7835,49989,2,232
7835,49989,1,339
