Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
49989_2_111.assembly	135	65	46	43	35	27	5030417	5003644	4964361	4944431	4808405	4543126	82	616878	5015684	50.53	168382	92292	7	17	0.00
49990_2_240.assembly	64	43	29	26	21	17	5216624	5209151	5174189	5157634	5060753	4926414	49	708623	5213486	57.56	411667	206396	5	10	0.00
49937_1_340.assembly	197	88	55	49	35	26	5253277	5213532	5139617	5094311	4853997	4518288	115	511954	5231628	50.85	171204	104002	10	20	0.00
49989_1_174.assembly	66	45	30	30	28	23	4584656	4578703	4548745	4548745	4514671	4325388	46	500408	4579455	50.73	224533	161077	7	13	0.00
49989_1_159.assembly	139	60	36	29	23	20	5101933	5073840	5022254	4970464	4886532	4796539	81	672918	5088234	50.49	357881	128847	5	11	0.00
49989_2_283.assembly	115	68	49	41	29	23	5069022	5053845	5007094	4950621	4773281	4568177	78	622952	5060958	50.75	222270	123597	7	14	0.00
49989_1_210.assembly	325	129	81	66	46	30	5274621	5201066	5090211	4976722	4642249	4095382	179	396294	5235400	50.51	124681	56436	13	27	0.00
49937_1_137.assembly	156	69	45	37	29	18	5169088	5130990	5078898	5020503	4909233	4550839	103	581310	5155130	50.46	317827	138401	6	12	0.00
49989_1_295.assembly	43	25	20	18	16	14	5190099	5184813	5173219	5155173	5113707	5053353	29	1491798	5187255	57.55	372583	347780	4	8	0.00
49989_1_267.assembly	236	98	55	42	30	23	5252295	5194692	5095104	5012053	4840328	4597503	143	641887	5227679	50.49	195387	129536	8	17	0.00
49989_1_329.assembly	159	96	65	58	36	27	5075652	5052677	4984073	4932331	4586722	4287410	109	388448	5062871	50.58	162956	93624	10	21	0.00
49990_2_39.assembly	184	79	52	41	30	22	5172802	5130289	5073716	4995164	4833033	4587348	112	668753	5155195	50.50	205149	130923	7	15	0.00
49989_1_241.assembly	89	49	31	27	24	17	5056930	5043436	5005151	4977761	4929189	4681133	56	701739	5049730	50.48	318930	201519	6	10	0.00
49989_1_238.assembly	73	45	29	26	20	15	5041246	5032831	4994288	4971184	4885311	4704758	49	908028	5035549	50.56	557229	211241	4	8	0.00
49990_1_339.assembly	288	105	68	56	40	30	5219625	5156924	5078438	4986143	4729608	4395707	145	347655	5186121	50.66	163388	88020	12	23	0.00
49989_2_75.assembly	163	74	53	47	37	27	5149753	5115238	5072365	5028065	4862654	4535729	98	616878	5132279	50.52	168382	91902	7	18	0.00
49989_1_124.assembly	153	51	33	28	26	20	5122256	5082571	5043606	5008990	4977475	4766785	83	616031	5103834	50.58	302981	198110	6	11	0.00
49989_2_351.assembly	115	52	36	30	24	16	4953230	4928816	4893679	4848073	4741745	4494153	72	577232	4942653	50.55	365288	202432	5	10	0.00
49937_1_329.assembly	1106	1103	257	67	5	1	4479462	4478486	2381937	1056186	203767	66545	1104	66545	4479128	50.49	5462	3090	230	506	0.00
49937_1_360.assembly	154	99	75	68	51	32	5113742	5096157	5039236	4983934	4689146	3972620	111	370347	5103965	50.60	119022	55703	15	30	0.00
49937_1_105.assembly	72	41	31	30	27	23	5270072	5258876	5226452	5218819	5152908	5017289	50	555773	5265694	57.42	348839	257598	7	11	0.00
49990_2_210.assembly	291	112	81	63	40	29	5104790	5051032	4977867	4842968	4464222	4054230	144	356557	5071594	50.74	123505	69706	12	25	0.00
49990_2_12.assembly	158	92	66	52	44	29	5200948	5173256	5124176	5020945	4897932	4366993	113	340912	5188302	50.68	206563	84597	10	22	0.00
49989_1_51.assembly	69	46	32	32	32	25	4690290	4680428	4646607	4646607	4646607	4423239	54	648076	4686819	50.62	186831	121158	7	15	0.00
49937_1_252.assembly	125	71	50	41	29	23	5068423	5050317	5000711	4935666	4759907	4566255	84	622947	5059386	50.75	223039	123597	7	14	0.00
49989_1_79.assembly	73	46	31	27	23	16	5487918	5480121	5447428	5415855	5340261	5100493	50	1061553	5482900	57.29	372145	265740	4	9	0.00
49989_2_227.assembly	157	76	49	43	31	20	5064203	5038493	4971803	4927048	4745617	4360478	92	575496	5049281	50.63	239716	137432	7	14	0.00
49989_2_210.assembly	172	62	38	34	23	18	5208474	5168332	5118303	5096718	4935469	4767071	89	935695	5187484	50.52	359437	160850	5	11	0.00
49937_1_114.assembly	153	73	49	42	30	24	5529781	5501556	5443399	5390512	5198358	4985521	88	709526	5512754	57.16	255785	108526	7	14	0.00
49990_2_51.assembly	188	94	48	43	37	22	5213392	5176804	5074078	5038375	4929005	4347459	123	555015	5198766	50.80	209664	80609	7	16	0.00
49989_1_163.assembly	181	94	57	47	30	24	5081774	5047751	4958345	4878885	4627162	4410543	124	558745	5068216	50.72	190833	107927	8	16	0.00
49990_1_345.assembly	135	66	44	39	29	21	5028907	5003083	4954012	4915242	4771654	4486664	86	581214	5016464	50.67	222182	159532	8	14	0.00
49990_2_36.assembly	118	68	50	45	36	26	4979251	4959675	4923882	4887318	4724012	4362376	86	571503	4971945	50.55	182384	91717	8	18	0.00
